name,dept,Maths,Physics,Chemistry,English,Biology,Economics,Information Security ,Cyber Security
Aarav,Mechanical,55,45,56,87,21,52,78,85
Ishaan,Electrical,75,96,78,64,90,61,92,88
Rohan,Computer Science,25,54,89,76,95,87,70,75
Ananya,Civil,78,96,86,63,54,89,80,82
Neha,Electronics,58,96,78,46,96,77,85,90
Aryan,Chemical,45,87,52,89,55,89,72,78
Priya,Information Technology,55,64,61,58,75,58,85,80
Ved,Aerospace,54,76,87,56,25,56,78,85
Sneha,Industrial,55,63,89,75,78,75,80,82
Aditya,Environmental,96,46,77,83,58,83,75,70
